Store,Dept,IsHoliday,Size,Type,Date,Weekly_Sales
18,48,True,188437,C,2016-04-18,21969.55225800649
41,48,False,75777,B,2010-02-13,14944.349101416039
24,98,False,122487,C,2022-07-19,27239.075434131657
43,77,False,108889,C,2022-10-15,15014.540891965164
31,94,True,143563,A,2023-07-29,29060.17337844103
10,38,True,19278,C,2021-08-29,30483.973654629157
36,8,True,104107,C,2016-06-09,35742.43095324358
43,8,True,123413,A,2022-08-24,28041.02892403916
29,40,False,103316,C,2010-04-18,23868.048679428342
34,98,True,46625,B,2022-08-13,7297.372572100595
29,51,False,110769,B,2022-03-03,35801.244103418736
18,44,True,191404,A,2022-02-25,18694.100809893298
24,70,True,27340,C,2018-08-09,14479.676461400693
34,67,True,114372,B,2022-08-30,37675.55118807293
9,52,False,138600,C,2022-03-31,25735.534809453147
10,41,True,17358,A,2011-03-01,9127.494583193073
29,31,True,134111,A,2022-05-15,26224.83418218326
18,89,True,160049,A,2023-01-01,28641.357682813104
17,71,False,186356,C,2010-08-23,8911.943795558247
4,62,False,151657,A,2011-05-06,32305.829089394923
40,2,False,119480,A,2011-01-06,28601.32021536634
17,91,False,30646,A,2010-01-27,24277.580285433403
39,39,True,126136,B,2010-12-12,31440.875938553876
42,92,False,134127,A,2015-07-30,22630.469292771213
17,66,True,139662,A,2014-04-09,13027.144474681962
44,6,True,44486,B,2013-02-27,29381.395879686
17,40,False,143547,C,2019-09-21,14066.348040842468
5,25,True,84246,C,2017-11-20,22273.359053048807
13,76,False,27299,B,2011-04-11,25805.248736779613
8,42,True,134478,B,2010-11-28,14063.5237663152
3,90,False,71220,C,2014-12-04,34227.50541368339
31,77,False,195607,B,2021-05-13,32234.771656141478
19,78,True,185338,A,2018-08-31,38228.658662399626
44,3,False,94052,B,2015-02-12,26155.393510733964
5,41,True,53107,A,2020-10-30,23938.07574720971
45,42,False,115477,B,2017-04-09,22705.517026894675
45,16,True,186520,C,2014-09-04,17365.46961706476
29,49,True,152468,C,2023-03-24,17510.19599025131
22,73,True,81886,C,2015-11-11,35290.17192234738
41,71,False,152712,A,2015-08-27,14198.293305652125
36,30,True,22446,B,2023-05-23,21082.4635706433
43,73,False,17996,C,2018-10-29,29874.17235299545
28,62,False,119165,C,2016-03-25,16190.373051101578
6,36,False,21019,B,2016-02-11,21692.224854670465
34,57,False,185404,C,2022-11-02,32596.39559420674
15,62,False,109531,A,2023-07-14,32984.65674057093
32,91,False,114054,C,2022-11-08,25845.438238875
30,54,False,19951,B,2023-06-03,20691.80430423455
25,48,True,49545,C,2015-02-14,19686.402200167373
14,54,True,25851,A,2022-07-15,32936.89892926464
14,99,False,32361,B,2020-05-26,12060.34912723739
39,57,True,47551,C,2022-11-15,43527.02989313756
8,12,False,194592,A,2020-04-16,32781.074981352125
34,13,True,153768,A,2019-06-15,34879.720609846365
37,12,False,171194,C,2011-12-22,35120.66599534878
41,3,True,190569,A,2021-08-23,22855.797219988883
19,48,False,109614,C,2020-06-29,9465.010764274824
17,16,False,196168,B,2023-02-04,10993.915039894195
5,6,False,25309,B,2013-07-17,19864.925105956656
45,45,False,45180,A,2019-01-10,26973.961134497156
30,78,False,138000,C,2013-07-16,12294.579069884421
35,35,False,55910,C,2018-05-04,7046.885135983094
33,16,True,34425,C,2016-12-31,38881.38829586762
7,40,True,137302,C,2016-03-16,11667.62479591359
26,34,True,199657,C,2021-06-30,10997.488685605222
37,88,True,105747,A,2020-02-25,41189.23255593594
25,88,True,159988,C,2023-06-12,30815.40362998895
19,29,False,61158,A,2015-09-25,24864.91903200435
7,88,False,171431,C,2013-08-25,23966.058733917205
31,66,False,38807,A,2023-02-23,20456.468533372783
20,35,True,197041,B,2017-10-17,8887.480250325416
27,16,True,70343,A,2023-03-12,16800.945479306043
38,23,True,77989,B,2013-10-28,30719.713158182567
19,85,False,178631,B,2010-11-05,15043.34465435277
6,41,False,154258,C,2012-08-19,20861.682441963727
22,48,True,50543,C,2022-08-29,28662.148620030697
44,57,False,166374,B,2014-09-01,8983.689870310494
13,42,False,126690,B,2019-06-30,26647.89773492467
1,44,True,114704,A,2018-05-04,41722.39336649398
10,6,False,50772,A,2013-04-25,19049.981424763784
41,85,False,158810,A,2016-04-26,29625.459837243132
29,46,True,29773,A,2011-04-06,36884.18996645708
38,67,False,135670,B,2023-07-21,9216.132404818316
31,80,False,41304,C,2014-10-09,18877.002427252508
13,62,True,104425,C,2013-10-25,12562.342574678256
32,59,False,106830,B,2021-06-25,12840.6510496017
36,84,True,149341,C,2013-03-05,29665.90745777679
