Store,Dept,Date,Type,Size,IsHoliday,Weekly_Sales
1,1,2018-01-01,C,30000,False,4942.09
1,1,2018-01-08,C,30000,False,4942.09
1,1,2018-01-15,C,30000,False,4942.09
1,1,2018-01-22,C,30000,False,4942.09
1,1,2018-01-29,C,30000,False,4942.09
1,1,2018-02-05,C,30000,False,4709.2
1,1,2018-02-12,C,30000,False,4709.2
1,1,2018-02-19,C,30000,False,4709.2
1,1,2018-02-26,C,30000,False,4709.2
1,1,2018-03-05,C,30000,False,5174.98
1,1,2018-03-12,C,30000,False,5174.98
1,1,2018-03-19,C,30000,False,5174.98
1,1,2018-03-26,C,30000,False,5174.98
1,1,2018-04-02,C,30000,False,5407.88
1,1,2018-04-09,C,30000,False,5407.88
1,1,2018-04-16,C,30000,False,5407.88
1,1,2018-04-23,C,30000,False,5407.88
1,1,2018-04-30,C,30000,False,5407.88
1,1,2018-05-07,C,30000,False,5640.77
1,1,2018-05-14,C,30000,False,5640.77
1,1,2018-05-21,C,30000,False,5640.77
1,1,2018-05-28,C,30000,False,5640.77
1,1,2018-06-04,C,30000,False,5873.67
1,1,2018-06-11,C,30000,False,5873.67
1,1,2018-06-18,C,30000,False,5873.67
1,1,2018-06-25,C,30000,False,5873.67
1,1,2018-07-02,C,30000,False,6106.56
1,1,2018-07-09,C,30000,False,6106.56
1,1,2018-07-16,C,30000,False,6106.56
1,1,2018-07-23,C,30000,False,6106.56
1,1,2018-07-30,C,30000,False,6106.56
1,1,2018-08-06,C,30000,False,5873.67
1,1,2018-08-13,C,30000,False,5873.67
1,1,2018-08-20,C,30000,False,5873.67
1,1,2018-08-27,C,30000,False,5873.67
1,1,2018-09-03,C,30000,False,5407.88
1,1,2018-09-10,C,30000,False,5407.88
1,1,2018-09-17,C,30000,False,5407.88
1,1,2018-09-24,C,30000,False,5407.88
1,1,2018-10-01,C,30000,False,5640.77
1,1,2018-10-08,C,30000,False,5640.77
1,1,2018-10-15,C,30000,False,5640.77
1,1,2018-10-22,C,30000,False,5640.77
1,1,2018-10-29,C,30000,False,5640.77
1,1,2018-11-05,C,30000,True,8016.29
1,1,2018-11-12,C,30000,True,8016.29
1,1,2018-11-19,C,30000,True,8016.29
1,1,2018-11-26,C,30000,True,8016.29
1,1,2018-12-03,C,30000,True,9134.18
1,1,2018-12-10,C,30000,True,9134.18
1,1,2018-12-17,C,30000,True,9134.18
1,1,2018-12-24,C,30000,True,9134.18
1,1,2018-12-31,C,30000,True,9134.18
1,1,2019-01-07,C,30000,False,4942.09
1,1,2019-01-14,C,30000,False,4942.09
1,1,2019-01-21,C,30000,False,4942.09
1,1,2019-01-28,C,30000,False,4942.09
1,1,2019-02-04,C,30000,False,4709.2
1,1,2019-02-11,C,30000,False,4709.2
1,1,2019-02-18,C,30000,False,4709.2
1,1,2019-02-25,C,30000,False,4709.2
1,1,2019-03-04,C,30000,False,5174.98
1,1,2019-03-11,C,30000,False,5174.98
1,1,2019-03-18,C,30000,False,5174.98
1,1,2019-03-25,C,30000,False,5174.98
1,1,2019-04-01,C,30000,False,5407.88
1,1,2019-04-08,C,30000,False,5407.88
1,1,2019-04-15,C,30000,False,5407.88
1,1,2019-04-22,C,30000,False,5407.88
1,1,2019-04-29,C,30000,False,5407.88
1,1,2019-05-06,C,30000,False,5640.77
1,1,2019-05-13,C,30000,False,5640.77
1,1,2019-05-20,C,30000,False,5640.77
1,1,2019-05-27,C,30000,False,5640.77
1,1,2019-06-03,C,30000,False,5873.67
1,1,2019-06-10,C,30000,False,5873.67
1,1,2019-06-17,C,30000,False,5873.67
1,1,2019-06-24,C,30000,False,5873.67
1,1,2019-07-01,C,30000,False,6106.56
1,1,2019-07-08,C,30000,False,6106.56
1,1,2019-07-15,C,30000,False,6106.56
1,1,2019-07-22,C,30000,False,6106.56
1,1,2019-07-29,C,30000,False,6106.56
1,1,2019-08-05,C,30000,False,5873.67
1,1,2019-08-12,C,30000,False,5873.67
1,1,2019-08-19,C,30000,False,5873.67
1,1,2019-08-26,C,30000,False,5873.67
1,1,2019-09-02,C,30000,False,5407.88
1,1,2019-09-09,C,30000,False,5407.88
1,1,2019-09-16,C,30000,False,5407.88
1,1,2019-09-23,C,30000,False,5407.88
1,1,2019-09-30,C,30000,False,5407.88
1,1,2019-10-07,C,30000,False,5640.77
1,1,2019-10-14,C,30000,False,5640.77
1,1,2019-10-21,C,30000,False,5640.77
1,1,2019-10-28,C,30000,False,5640.77
1,1,2019-11-04,C,30000,True,8016.29
1,1,2019-11-11,C,30000,True,8016.29
1,1,2019-11-18,C,30000,True,8016.29
1,1,2019-11-25,C,30000,True,8016.29
1,1,2019-12-02,C,30000,True,9134.18
1,1,2019-12-09,C,30000,True,9134.18
1,1,2019-12-16,C,30000,True,9134.18
1,1,2019-12-23,C,30000,True,9134.18
1,1,2019-12-30,C,30000,True,9134.18
1,1,2020-01-06,C,30000,False,4942.09
1,1,2020-01-13,C,30000,False,4942.09
1,1,2020-01-20,C,30000,False,4942.09
1,1,2020-01-27,C,30000,False,4942.09
1,1,2020-02-03,C,30000,False,4709.2
1,1,2020-02-10,C,30000,False,4709.2
1,1,2020-02-17,C,30000,False,4709.2
1,1,2020-02-24,C,30000,False,4709.2
1,1,2020-03-02,C,30000,False,5174.98
1,1,2020-03-09,C,30000,False,5174.98
1,1,2020-03-16,C,30000,False,5174.98
1,1,2020-03-23,C,30000,False,5174.98
1,1,2020-03-30,C,30000,False,5174.98
1,1,2020-04-06,C,30000,False,5407.88
1,1,2020-04-13,C,30000,False,5407.88
1,1,2020-04-20,C,30000,False,5407.88
1,1,2020-04-27,C,30000,False,5407.88
1,1,2020-05-04,C,30000,False,5640.77
1,1,2020-05-11,C,30000,False,5640.77
1,1,2020-05-18,C,30000,False,5640.77
